partNo,boltType,standard,certification,surfaceFinish,brand,industryStandard,material,threadSize,length,grade,description
400001,Hex bolt,ANSI,RoHS compliant,Zinc-plated,BoltWorks Co.,ASME B18.2.1,Steel,M6,30,Grade 8,Hex bolt M6 30mm
400002,Carriage bolt,DIN,CE marked,Black oxide,Nut & Bolt Solutions,ISO 4014,Stainless steel,M8,40,Grade 5,Carriage bolt M8 40mm
400003,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 931,Steel,M10,50,Grade 10.9,Eye bolt M10 50mm
400004,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A325,Alloy steel,"1/4""",25,Grade A307,"Flange bolt 1/4"" 25mm"
400005,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.1,Brass,"3/8""",60,Grade 8,"U-bolt 3/8"" 60mm"
400006,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4014,Steel,M8,35,Grade 5,Hex bolt M8 35mm
400007,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.5,Stainless steel,M12,70,Grade 10.9,Carriage bolt M12 70mm
400008,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 931,Steel,M10,60,Grade A307,Eye bolt M10 60mm
400009,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4162,Alloy steel,M6,20,Grade 8,Flange bolt M6 20mm
400010,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.1,Brass,"1/4""",40,Grade 5,"U-bolt 1/4"" 40mm"
400011,Hex bolt,DIN,RoHS compliant,Galvanized,Titan Bolts,ISO 4014,Stainless steel,M8,45,Grade 8,Hex bolt M8 45mm
400012,Carriage bolt,ANSI,CE marked,Black oxide,FastenAll,ASME B18.5,Steel,"3/8""",75,Grade 10.9,"Carriage bolt 3/8"" 75mm"
400013,Eye bolt,ISO,RoHS compliant,Stainless steel,Nut & Bolt Solutions,DIN 931,Steel,M12,80,Grade A307,Eye bolt M12 80mm
400014,Flange bolt,DIN,RoHS compliant,Zinc-plated,BoltWorks Co.,ISO 4162,Alloy steel,M10,30,Grade 8,Flange bolt M10 30mm
400015,U-bolt,ANSI,CE marked,Black oxide,Titan Bolts,ASME B18.2.1,Brass,"1/2""",50,Grade 5,"U-bolt 1/2"" 50mm"
400016,Hex bolt,DIN,RoHS compliant,Galvanized,FastenAll,ISO 4014,Stainless steel,M10,55,Grade 8,Hex bolt M10 55mm
400017,Carriage bolt,ANSI,CE marked,Black oxide,Nut & Bolt Solutions,ASME B18.5,Steel,"3/8""",80,Grade 10.9,"Carriage bolt 3/8"" 80mm"
400018,Eye bolt,ISO,RoHS compliant,Stainless steel,BoltWorks Co.,DIN 931,Steel,M14,90,Grade A307,Eye bolt M14 90mm
400019,Flange bolt,DIN,RoHS compliant,Zinc-plated,Titan Bolts,ISO 4162,Alloy steel,M8,35,Grade 8,Flange bolt M8 35mm
400020,U-bolt,ANSI,CE marked,Black oxide,FastenAll,ASME B18.2.1,Brass,"1/2""",60,Grade 5,"U-bolt 1/2"" 60mm"
400021,Hex bolt,ANSI,RoHS compliant,Zinc-plated,BoltWorks Co.,ASME B18.2.1,Steel,M12,65,Grade 8,Hex bolt M12 65mm
400022,Carriage bolt,DIN,CE marked,Black oxide,Nut & Bolt Solutions,ISO 4014,Stainless steel,M10,50,Grade 5,Carriage bolt M10 50mm
400023,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 931,Steel,M16,70,Grade 10.9,Eye bolt M16 70mm
400024,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A325,Alloy steel,"5/16""",35,Grade A307,"Flange bolt 5/16"" 35mm"
